file_id,path,first_seen,last_seen,commit_count,touches,bus_factor,sensitivity_score,sensitivity_tags
src/grounded_docparse/pipeline.py,src/grounded_docparse/pipeline.py,2026-07-26T14:03:59+05:30,2026-07-27T15:36:47+05:30,4,4,1,0.00,
src/grounded_docparse/quality.py,src/grounded_docparse/quality.py,2026-07-27T15:36:47+05:30,2026-07-27T15:36:47+05:30,1,1,1,0.00,
src/grounded_docparse/render.py,src/grounded_docparse/render.py,2026-07-26T14:03:59+05:30,2026-07-27T15:36:47+05:30,4,4,1,0.00,
src/grounded_docparse/review.py,src/grounded_docparse/review.py,2026-07-26T14:03:59+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
src/grounded_docparse/segmentation.py,src/grounded_docparse/segmentation.py,2026-07-26T14:03:59+05:30,2026-07-27T14:08:29+05:30,3,3,1,0.00,
src/grounded_docparse/server.py,src/grounded_docparse/server.py,2026-07-26T15:40:12+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
src/grounded_docparse/worker.py,src/grounded_docparse/worker.py,2026-07-26T15:40:12+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
streamlit_app.py,streamlit_app.py,2026-07-26T14:03:59+05:30,2026-07-27T17:01:42+05:30,5,5,1,0.00,
tasks/plan.md,tasks/plan.md,2026-07-26T14:03:59+05:30,2026-07-27T16:48:15+05:30,2,2,1,0.00,
tasks/todo.md,tasks/todo.md,2026-07-26T14:03:59+05:30,2026-07-27T16:48:15+05:30,2,2,1,0.00,
tests/conftest.py,tests/conftest.py,2026-07-26T14:03:59+05:30,2026-07-26T14:03:59+05:30,1,1,1,0.00,
tests/fixtures/public_water_expectations.json,tests/fixtures/public_water_expectations.json,2026-07-27T14:08:29+05:30,2026-07-27T14:08:29+05:30,1,1,1,0.00,
tests/test_agentic_contract.py,tests/test_agentic_contract.py,2026-07-27T14:08:29+05:30,2026-07-27T15:36:47+05:30,2,2,1,0.00,
tests/test_agentic_extraction.py,tests/test_agentic_extraction.py,2026-07-27T14:08:29+05:30,2026-07-27T14:08:29+05:30,1,1,1,0.00,
tests/test_api.py,tests/test_api.py,2026-07-26T15:40:12+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
tests/test_citations_forms.py,tests/test_citations_forms.py,2026-07-26T14:03:59+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
tests/test_compose_env.py,tests/test_compose_env.py,2026-07-26T17:37:35+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
tests/test_domain.py,tests/test_domain.py,2026-07-26T14:03:59+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
tests/test_evaluation.py,tests/test_evaluation.py,2026-07-26T14:03:59+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
tests/test_extraction.py,tests/test_extraction.py,2026-07-26T14:03:59+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
tests/test_failures.py,tests/test_failures.py,2026-07-26T14:03:59+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
tests/test_gateways.py,tests/test_gateways.py,2026-07-26T14:03:59+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
tests/test_ingest.py,tests/test_ingest.py,2026-07-26T14:03:59+05:30,2026-07-26T15:40:12+05:30,2,2,1,0.00,
tests/test_inspection.py,tests/test_inspection.py,2026-07-26T15:40:12+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
tests/test_jobs.py,tests/test_jobs.py,2026-07-26T15:40:12+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
tests/test_long_layout.py,tests/test_long_layout.py,2026-07-26T14:03:59+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
tests/test_models.py,tests/test_models.py,2026-07-26T14:03:59+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
tests/test_openai_vision_gateway.py,tests/test_openai_vision_gateway.py,2026-07-26T15:40:12+05:30,2026-07-27T15:36:47+05:30,3,3,1,0.00,
tests/test_paddle.py,tests/test_paddle.py,2026-07-26T14:03:59+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
tests/test_parallel_pages.py,tests/test_parallel_pages.py,2026-07-27T14:08:29+05:30,2026-07-27T16:27:29+05:30,2,2,1,0.00,
tests/test_pipeline.py,tests/test_pipeline.py,2026-07-26T14:03:59+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
tests/test_public_water_benchmark.py,tests/test_public_water_benchmark.py,2026-07-27T14:08:29+05:30,2026-07-27T15:36:47+05:30,2,2,1,0.00,
tests/test_quality.py,tests/test_quality.py,2026-07-27T15:36:47+05:30,2026-07-27T15:36:47+05:30,1,1,1,0.00,
tests/test_render.py,tests/test_render.py,2026-07-26T14:03:59+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
tests/test_review.py,tests/test_review.py,2026-07-26T14:03:59+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
tests/test_segmentation.py,tests/test_segmentation.py,2026-07-26T14:03:59+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
tests/test_simple_contract.py,tests/test_simple_contract.py,2026-07-27T14:08:29+05:30,2026-07-27T14:08:29+05:30,1,1,1,0.00,
tests/test_simple_pipeline.py,tests/test_simple_pipeline.py,2026-07-27T14:08:29+05:30,2026-07-27T15:36:47+05:30,2,2,1,0.00,
tests/test_simple_streamlit.py,tests/test_simple_streamlit.py,2026-07-27T14:08:29+05:30,2026-07-27T14:08:29+05:30,1,1,1,0.00,
tests/test_streamlit.py,tests/test_streamlit.py,2026-07-26T14:03:59+05:30,2026-07-27T14:08:29+05:30,4,4,1,0.00,
tests/test_vision_pipeline.py,tests/test_vision_pipeline.py,2026-07-26T15:40:12+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
tests/test_visuals.py,tests/test_visuals.py,2026-07-26T14:03:59+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
tests/test_worker.py,tests/test_worker.py,2026-07-26T15:40:12+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
uv.lock,uv.lock,2026-07-26T14:03:59+05:30,2026-07-27T14:08:29+05:30,4,4,1,0.00,
